GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooApp,edu.nwmissouri.zoo11group,TauntingTiger,43,0,2,0,18,0,7,0,6,0
ZooApp,edu.nwmissouri.zoo11group,BungeJumpAdventure,27,21,0,0,10,10,6,6,6,6
ZooApp,edu.nwmissouri.zoo11group,AnimalRides,0,48,0,0,0,19,0,12,0,12
ZooApp,edu.nwmissouri.zoo11group,EmuGroup,3,51,0,0,1,15,1,3,1,3
ZooApp,edu.nwmissouri.zoo11group,Panthera,12,0,0,0,6,0,3,0,3,0
ZooApp,edu.nwmissouri.zoo11group,SkyRides,0,62,0,0,0,26,0,14,0,14
ZooApp,edu.nwmissouri.zoo11group,TauntingTigerGroup,59,0,2,0,15,0,4,0,3,0
ZooApp,edu.nwmissouri.zoo11group,ElephantGroup,3,56,0,2,1,14,1,3,1,2
ZooApp,edu.nwmissouri.zoo11group,ZooAdventure,24,3,0,0,11,1,9,1,9,1
ZooApp,edu.nwmissouri.zoo11group,PolarBearGroup,3,51,0,0,1,15,1,3,1,3
ZooApp,edu.nwmissouri.zoo11group,RopeRidesAdventure,0,50,0,0,0,20,0,12,0,12
ZooApp,edu.nwmissouri.zoo11group,CycleRides,42,30,0,0,15,11,10,5,10,5
ZooApp,edu.nwmissouri.zoo11group,CarRides,0,62,0,0,0,25,0,16,0,16
ZooApp,edu.nwmissouri.zoo11group,ZooController,123,3,19,0,68,1,27,1,9,1
ZooApp,edu.nwmissouri.zoo11group,ProngHorn.Gender,0,21,0,0,0,4,0,1,0,1
ZooApp,edu.nwmissouri.zoo11group,Emu,0,12,0,0,0,6,0,3,0,3
ZooApp,edu.nwmissouri.zoo11group,LogRideAdventure,0,46,0,0,0,19,0,11,0,11
ZooApp,edu.nwmissouri.zoo11group,PolarBear,0,20,0,0,0,6,0,3,0,3
ZooApp,edu.nwmissouri.zoo11group,RollerCoasterAdventure,0,53,0,0,0,20,0,12,0,12
ZooApp,edu.nwmissouri.zoo11group,ZooApp,165,0,27,0,82,0,24,0,2,0
ZooApp,edu.nwmissouri.zoo11group,WaterRides,38,35,0,0,13,15,9,7,9,7
ZooApp,edu.nwmissouri.zoo11group,FerrisWheelAdventure,0,42,0,0,0,18,0,12,0,12
ZooApp,edu.nwmissouri.zoo11group,ShuttleRides,36,15,0,0,12,7,8,4,8,4
ZooApp,edu.nwmissouri.zoo11group,ZooCheckFiles,206,0,12,0,55,0,16,0,10,0
ZooApp,edu.nwmissouri.zoo11group,Elephant,0,12,0,0,0,6,0,3,0,3
ZooApp,edu.nwmissouri.zoo11group,ZooBuildSwitch,317,0,22,0,71,0,17,0,6,0
ZooApp,edu.nwmissouri.zoo11group,Animal,11,9,0,0,5,4,3,1,3,1
ZooApp,edu.nwmissouri.zoo11group,PantheraGroup,59,0,2,0,15,0,4,0,3,0
ZooApp,edu.nwmissouri.zoo11group,TrainRides,0,73,0,0,0,28,0,16,0,16
ZooApp,edu.nwmissouri.zoo11group,ProngHorn,0,94,0,0,0,25,0,8,0,8
ZooApp,edu.nwmissouri.zoo11group,ZooRides,3,3,0,0,3,1,3,1,3,1
ZooApp,edu.nwmissouri.zoo11group,ZooAppApplication,5,3,0,0,2,1,1,1,1,1
ZooApp,edu.nwmissouri.zoo11group,ProngHornGroup,3,66,0,2,1,17,1,3,1,2
